time,signal ch.38
1.220936648,-0.00056712
1.221264328,-0.00056233
1.221592008,-0.00056023
1.221919689,-0.00056113
1.222247369,-0.00055936
1.222575049,-0.00055495
1.222902729,-0.00055265
1.22323041,-0.00055332
1.22355809,-0.00055343
1.22388577,-0.00055395
1.22421345,-0.00055571
1.224541131,-0.00055981
1.224868811,-0.00056394
1.225196491,-0.00056434
1.225524172,-0.00056384
1.225851852,-0.00056666
1.226179532,-0.00057003
1.226507212,-0.00057235
1.226834893,-0.00057247
1.227162573,-0.00056384
1.227490253,-0.00054876
1.227817933,-0.00053382
1.228145614,-0.00052561
1.228473294,-0.00052462
1.228800974,-0.00052442
1.229128654,-0.00052375
1.229456335,-0.00052228
1.229784015,-0.00052112
1.230111695,-0.00052057
1.230439375,-0.00052251
1.230767056,-0.00053093
1.231094736,-0.00054396
1.231422416,-0.00055504
1.231750096,-0.00056349
1.232077777,-0.00056776
1.232405457,-0.00056684
1.232733137,-0.00056373
1.233060817,-0.00056289
1.233388498,-0.00056619
1.233716178,-0.00057262
1.234043858,-0.00057887
1.234371539,-0.00058321
1.234699219,-0.0005845
1.235026899,-0.00058283
1.235354579,-0.00058078
1.23568226,-0.00058004
1.23600994,-0.00058116
1.23633762,-0.00058062
1.2366653,-0.00057823
1.236992981,-0.00057601
1.237320661,-0.00057483
1.237648341,-0.00057762
1.237976021,-0.00058247
1.238303702,-0.00058637
1.238631382,-0.00058724
1.238959062,-0.000587
1.239286742,-0.00058595
1.239614423,-0.00058491
1.239942103,-0.00058511
1.240269783,-0.00058723
1.240597463,-0.00059016
1.240925144,-0.00059195
1.241252824,-0.00059294
1.241580504,-0.00059362
1.241908185,-0.0005912
1.242235865,-0.00058875
1.242563545,-0.00058773
1.242891225,-0.00058709
1.243218906,-0.00058765
1.243546586,-0.00058966
1.243874266,-0.000592
1.244201946,-0.00059303
1.244529627,-0.00059391
1.244857307,-0.00059645
1.245184987,-0.00059753
1.245512667,-0.00059815
1.245840348,-0.00059903
1.246168028,-0.00059936
1.246495708,-0.00059666
1.246823388,-0.00059423
1.247151069,-0.00059331
1.247478749,-0.0005927
1.247806429,-0.00059133
1.248134109,-0.000592
1.24846179,-0.00059319
1.24878947,-0.00059297
1.24911715,-0.00059034
1.24944483,-0.00058578
1.249772511,-0.00058214
1.250100191,-0.00058102
1.250427871,-0.00058252
1.250755552,-0.00058395
1.251083232,-0.00058604
1.251410912,-0.00059109
1.251738592,-0.00059467
1.252066273,-0.00059641
1.252393953,-0.00059639
1.252721633,-0.00059418
1.253049313,-0.00059078
1.253376994,-0.00058804
1.253704674,-0.0005877
1.254032354,-0.00058968
1.254360034,-0.00059026
1.254687715,-0.00059005
1.255015395,-0.0005878
1.255343075,-0.00058555
1.255670755,-0.00058657
1.255998436,-0.00058896
1.256326116,-0.00058888
1.256653796,-0.00058802
1.256981476,-0.00058863
1.257309157,-0.00058945
1.257636837,-0.00059189
1.257964517,-0.00059629
1.258292198,-0.00059878
1.258619878,-0.00059945
1.258947558,-0.00059765
1.259275238,-0.00059379
1.259602919,-0.00059087
1.259930599,-0.00058829
1.260258279,-0.00058656
1.260585959,-0.00058579
1.26091364,-0.00058535
1.26124132,-0.00058543
1.261569,-0.00058428
1.26189668,-0.00058082
1.262224361,-0.00057887
1.262552041,-0.00057698
1.262879721,-0.00057484
1.263207401,-0.00057307
1.263535082,-0.00057199
1.263862762,-0.00057045
1.264190442,-0.00056822
1.264518122,-0.00056672
1.264845803,-0.00056665
1.265173483,-0.00056194
1.265501163,-0.00055067
1.265828843,-0.00053625
1.266156524,-0.00052219
1.266484204,-0.00051209
1.266811884,-0.00050646
1.267139565,-0.00050399
1.267467245,-0.00050245
1.267794925,-0.00049989
1.268122605,-0.00049757
1.268450286,-0.00049672
1.268777966,-0.00050221
1.269105646,-0.000512
1.269433326,-0.00052301
1.269761007,-0.00053389
1.270088687,-0.00054324
1.270416367,-0.0005477
1.270744047,-0.0005477
1.271071728,-0.00054575
1.271399408,-0.00054573
1.271727088,-0.00054671
1.272054768,-0.00054762
1.272382449,-0.00054764
1.272710129,-0.00054671
1.273037809,-0.00054589
1.273365489,-0.00054804
1.27369317,-0.00055031
1.27402085,-0.00055199
1.27434853,-0.00055145
1.27467621,-0.00055122
1.275003891,-0.00055295
1.275331571,-0.00055262
1.275659251,-0.00055354
1.275986932,-0.00055436
1.276314612,-0.00055496
1.276642292,-0.00055617
1.276969972,-0.00055812
1.277297653,-0.00056066
1.277625333,-0.00056196
1.277953013,-0.00056265
1.278280693,-0.00056228
1.278608374,-0.00056026
1.278936054,-0.00055786
1.279263734,-0.00055222
1.279591414,-0.00054569
1.279919095,-0.00053926
1.280246775,-0.00053324
1.280574455,-0.00052629
1.280902135,-0.00052189
1.281229816,-0.00051886
1.281557496,-0.00051621
1.281885176,-0.00051612
1.282212856,-0.0005149
1.282540537,-0.00051449
1.282868217,-0.00051398
1.283195897,-0.00051321
1.283523578,-0.00051399
1.283851258,-0.00051472
1.284178938,-0.00051802
1.284506618,-0.00052162
1.284834299,-0.00052495
1.285161979,-0.00052905
1.285489659,-0.00053122
1.285817339,-0.00053294
1.28614502,-0.00053145
1.2864727,-0.00052959
1.28680038,-0.00052695
1.28712806,-0.00052316
1.287455741,-0.00052152
1.287783421,-0.00052238
1.288111101,-0.00052473
1.288438781,-0.0005266
1.288766462,-0.00052767
1.289094142,-0.00052763
1.289421822,-0.00052779
1.289749502,-0.00052891
1.290077183,-0.00053106
1.290404863,-0.00053301
1.290732543,-0.00053493
1.291060223,-0.00053602
1.291387904,-0.00053636
1.291715584,-0.00053626
1.292043264,-0.00053764
1.292370945,-0.00054138
1.292698625,-0.00054442
1.293026305,-0.00054783
1.293353985,-0.00054983
1.293681666,-0.00055088
1.294009346,-0.00055058
1.294337026,-0.00055076
1.294664706,-0.00055016
1.294992387,-0.00054963
1.295320067,-0.00055093
1.295647747,-0.00055348
1.295975427,-0.00055463
1.296303108,-0.00055506
1.296630788,-0.00055552
1.296958468,-0.00055648
1.297286148,-0.00055848
1.297613829,-0.0005604
1.297941509,-0.00056019
1.298269189,-0.00055942
1.298596869,-0.00055859
1.29892455,-0.00055873
1.29925223,-0.00055961
1.29957991,-0.00055862
1.29990759,-0.00055546
1.300235271,-0.00055485
1.300562951,-0.00055402
1.300890631,-0.00055043
1.301218312,-0.00054814
1.301545992,-0.00055135
1.301873672,-0.00055732
1.302201352,-0.00056326
1.302529033,-0.00056788
1.302856713,-0.00057149
1.303184393,-0.00057529
1.303512073,-0.00057781
1.303839754,-0.00057841
1.304167434,-0.00057627
1.304495114,-0.0005716
1.304822794,-0.00056739
1.305150475,-0.00056435
1.305478155,-0.00056025
1.305805835,-0.00055444
1.306133515,-0.00054867
1.306461196,-0.00054089
1.306788876,-0.00053054
1.307116556,-0.00052217
1.307444236,-0.00051844
1.307771917,-0.00051625
1.308099597,-0.00051543
1.308427277,-0.00051627
1.308754958,-0.00051638
1.309082638,-0.00051704
1.309410318,-0.00051795
1.309737998,-0.00051821
1.310065679,-0.00051805
1.310393359,-0.00052007
1.310721039,-0.00052283
1.311048719,-0.00052646
1.3113764,-0.00053131
1.31170408,-0.00053778
1.31203176,-0.00054403
1.31235944,-0.00055241
1.312687121,-0.00055861
1.313014801,-0.00056342
1.313342481,-0.00056749
1.313670161,-0.00056778
1.313997842,-0.00056805
1.314325522,-0.0005692
1.314653202,-0.0005719
1.314980882,-0.00057519
1.315308563,-0.00057733
1.315636243,-0.00057807
1.315963923,-0.00057963
1.316291603,-0.00058158
1.316619284,-0.00058324
1.316946964,-0.00058329
1.317274644,-0.00058376
1.317602325,-0.00058326
1.317930005,-0.00058072
1.318257685,-0.0005783
1.318585365,-0.00057921
1.318913046,-0.00058092
1.319240726,-0.00058131
1.319568406,-0.0005811
1.319896086,-0.00058212
1.320223767,-0.00058074
1.320551447,-0.00057931
1.320879127,-0.00057798
1.321206807,-0.00057754
1.321534488,-0.00057834
1.321862168,-0.00057934
1.322189848,-0.00058233
1.322517528,-0.00058303
1.322845209,-0.00058158
1.323172889,-0.00058093
1.323500569,-0.00058084
1.323828249,-0.00058084
1.32415593,-0.00058035
1.32448361,-0.00058066
1.32481129,-0.00058009
1.32513897,-0.00057959
1.325466651,-0.00057987
1.325794331,-0.00057991
1.326122011,-0.00058227
1.326449692,-0.00058381
1.326777372,-0.00058373
1.327105052,-0.0005833
1.327432732,-0.00058298
1.327760413,-0.00058324
1.328088093,-0.00058386
1.328415773,-0.00058562
1.328743453,-0.00058732
1.329071134,-0.00058881
1.329398814,-0.0005909
1.329726494,-0.00059104
1.330054174,-0.00059044
1.330381855,-0.00059029
1.330709535,-0.0005887
1.331037215,-0.0005877
1.331364895,-0.00058766
